Name,Team
Avery Bradley,Boston Celtics
Jae Crowder,Boston Celtics
John Holland,Boston Celtics
R.J. Hunter,Boston Celtics
Jonas Jerebko,Boston Celtics
Amir Johnson,Boston Celtics
Jordan Mickey,Boston Celtics
Kelly Olynyk,Boston Celtics
Terry Rozier,Boston Celtics
Marcus Smart,Boston Celtics
Jared Sullinger,Boston Celtics
Isaiah Thomas,Boston Celtics
Evan Turner,Boston Celtics
James Young,Boston Celtics
Tyler Zeller,Boston Celtics
Bojan Bogdanovic,Brooklyn Nets
Markel Brown,Brooklyn Nets
Wayne Ellington,Brooklyn Nets
Rondae Hollis-Jefferson,Brooklyn Nets
